Keyword,Avg. Monthly Searches,Competition,Competition Index,Bid (Low),Bid (High)
plantillas currículum,50000,High,86,0.59,2.61
curriculum vitae plantilla,50000,High,75,0.28,1.56
curriculum gratis,50000,High,87,0.15,1.27
plantilla cv,50000,High,89,0.33,1.78
plantillas para cv,50000,High,82,0.26,1.38
plantillas cv gratis,50000,High,83,0.26,1.73
plantillas de curriculum,50000,High,73,0.13,1.08
plantilla curriculum gratis,50000,High,86,0.74,2.61
plantillas para curriculum,50000,High,78,0.12,1.14
formato curriculum vitae,50000,High,71,0.28,1.47
currículum vitae gratis,50000,High,77,0.1,0.82
plantillas de cv,50000,High,75,0.16,1.01
plantilla de curriculum vitae,50000,High,75,0.16,1.01
curriculum vitae plantillas,50000,High,75,0.28,1.56
curriculum vitae plantilla gratis,50000,High,83,0.26,1.73
plantillas de curriculum vitae,50000,High,75,0.16,1.01
plantilla para cv,50000,High,82,0.26,1.38
plantilla de cv,50000,High,75,0.16,1.01
plantillas para curriculum vitae,50000,High,82,0.26,1.38
plantilla curriculum word,50000,High,71,0.22,1.14
plantilla cv word,50000,High,71,0.22,1.14
plantilla hoja de vida,50000,High,72,0.1,0.65
plantilla curriculum vitae word,50000,High,71,0.22,1.14
modelos cv,50000,High,73,0.2,1.34
modelos curriculum vitae,50000,High,73,0.2,1.34
plantillas curriculum vitae gratis,50000,High,83,0.26,1.73
curriculum vitae formatos,50000,High,71,0.28,1.47
crear currículum vitae gratis,50000,High,89,0.19,1.81
modelo currículum vitae,50000,High,73,0.2,1.34
curriculum hacer gratis,50000,High,88,0.26,2.43
formato currículum vitae,50000,High,71,0.28,1.47
plantillas cvs,50000,High,77,0.27,1.53
crear curriculums gratis,50000,High,88,0.3,2.85
modelo curriculum en word,50000,High,70,0.14,0.67
curriculums gratuitos,50000,High,87,0.15,1.27
curriculums vitae gratis,50000,High,77,0.1,0.82
currículum vitae gratis plantilla,50000,High,83,0.26,1.73
plantilla curri,50000,High,86,0.59,2.61
currículum vítae gratis,50000,High,77,0.1,0.82
armar curriculum vitae gratis,50000,High,89,0.19,1.81
